TIME	CCU	CENSUS	*	CPU	DB	IDLEST	*	DBH	DBQ	DBWAIT	*	TCPQ	UDP1Q	UDP2Q	NETFAIL	*	LSTMSG	LSTDB	*	ASYNC	*	DBHS
0506 000510	0	0	 	231	0	32	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000515	0	0	 	238	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000520	0	0	 	278	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000525	0	0	 	247	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000530	0	0	 	295	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000535	0	0	 	278	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000540	0	0	 	1091	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000545	0	0	 	872	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000550	0	0	 	1149	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000555	0	0	 	1226	0	32	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000600	0	0	 	440	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000605	0	0	 	686	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000611	0	0	 	301	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000616	0	0	 	364	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000621	0	0	 	233	0	32	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000626	0	0	 	255	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000631	0	0	 	249	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000636	0	0	 	744	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000641	0	0	 	243	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000646	0	0	 	236	0	32	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000651	0	0	 	240	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000656	0	0	 	374	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000701	0	0	 	150	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000706	0	0	 	389	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000711	0	0	 	1024	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000716	0	0	 	1422	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000721	0	0	 	778	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000726	0	0	 	643	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000731	0	0	 	230	0	32	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000736	0	0	 	242	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000741	0	0	 	230	0	32	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000746	0	0	 	529	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000751	0	0	 	499	0	32	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000756	0	0	 	236	0	32	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000801	0	0	 	318	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000806	0	0	 	329	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000811	0	0	 	1259	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000816	0	0	 	1531	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000821	0	0	 	409	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000826	0	0	 	346	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000831	0	0	 	312	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000836	0	0	 	412	0	32	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000841	0	0	 	769	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000846	0	0	 	432	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000851	0	0	 	242	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000856	0	0	 	290	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
0506 000901	0	0	 	1045	0	2	 	1	0	0	 	0	0	0	0	 	0	0	 	0	 	3(43)	
